"Finding ID","Experiment/run","Claim","Endpoint","Sample/unit","Result","Primary/secondary","Controls","Method validity","Supersession","Independent evidence","Supported claim","Unsupported extension","Source","Publication action"
"F-040","EXP-013 WF1-P0","Historical recurrence stronger in lineage","Mean recurrence d","Same historical 8/12 windows","d -0.279/-0.357; proposed recurrence prediction FAIL","Secondary discovery","Historical same-author comparisons","VALID_NEGATIVE_DISCOVERY","None","Original sample; not a new replication","This feature showed lower, not greater, lineage recurrence","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-013__WF1-P0_-_Historical_Corpus_Bridge/07_ADJUDICATION/EXP-013_WF1_P0_DISCOVERY_AND_FEATURE_FREEZE_AUTHORITY_ADDENDUM_20260918.md [SHA256 BFB030FEEC38…]","Index addendum"
"F-041","EXP-013 WF1-P0","Lagged cross-role structural measures imply causal transmission","Lagged cosine and gain","Same corpus fixed windows","Cosine d +.722/+.466; lagged gain d -.885/-.803","Secondary discovery","No tree-parent verification of all chronological adjacency","DISCOVERY_ONLY","None","Original sample; not a new replication","Lexical transition differences; cannot isolate causal human–assistant coupling","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-013__WF1-P0_-_Historical_Corpus_Bridge/07_ADJUDICATION/EXP-013_WF1_P0_DISCOVERY_AND_FEATURE_FREEZE_AUTHORITY_ADDENDUM_20260918.md [SHA256 BFB030FEEC38…]","Index addendum"
"F-042","EXP-014 WF1-A","Corrective ten-edge primary graph test passes","Predeclared hard-control/edge family gates","80 new seeds; 8,131/8,160 main; 720/720 native","S2A (76 seeds, 7,738 cells) PASS; S2B (65 seeds, 6,630) PASS; hard AUC 1.0/1.0","Primary","Isomorphic surface; degree/complexity/topology controls","VALID_WITH_MISSINGNESS_LIMITS","Corrective to original V12 switch, fresh observations","Original sample; not a new replication","Specified black-box response graph primary criterion passed under two exclusions","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-014__WF1-A_-_Corrective_Causal_Topology/07_ADJUDICATION/EXP-014_WF1_A_CORRECTIVE_TOPOLOGY_AUTHORITY_ADDENDUM_20260918.md [SHA256 1C8CCF5B18A1…] ; 01_CANONICAL_EXPERIMENTS/EXP-014__WF1-A_-_Corrective_Causal_Topology/07_ADJUDICATION/SOURCE/ADJUDICATION/WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429/04_S2_ROBUSTNESS_ADJUDICATION.json [SHA256 AB2B5A46CF22…] ; 01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/05_OUTPUTS/SOURCE/03_SIGNATURE_FREEZE/CORROBORATION_S2A/16_FINAL_SUMMARY.json [SHA256 698BD03BB959…] ; 01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/05_OUTPUTS/SOURCE/03_SIGNATURE_FREEZE/PRIMARY_S2B/16_FINAL_SUMMARY.json [SHA256 CC006B8AF056…]","Index addendum"
"F-043","EXP-014 WF1-A","Individual pure-edge interventions replicate","Nine deletion and eight reversal tests","New seeds confirmation and holdout","9/9 deletions; 7/8 reversals; E8 reversal FAIL; 16/17 pure pass","Secondary edge","Isomorphic baseline, Holm correction","MIXED_COMPONENT","None","Original sample; not a new replication","Pure edge manipulations show 16/17 individual replication under tested task","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-014__WF1-A_-_Corrective_Causal_Topology/07_ADJUDICATION/EXP-014_WF1_A_CORRECTIVE_TOPOLOGY_AUTHORITY_ADDENDUM_20260918.md [SHA256 1C8CCF5B18A1…] ; 01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/00_CONTROL/UNCLASSIFIED_SOURCE/03_SIGNATURE_FREEZE/CORROBORATION_S2A/24A_EDGE_REPLICATION.csv [SHA256 1F97285F2FD3…] ; 01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/00_CONTROL/UNCLASSIFIED_SOURCE/03_SIGNATURE_FREEZE/PRIMARY_S2B/24A_EDGE_REPLICATION.csv [SHA256 CE4B468CC3AD…]","Index addendum"
"F-044","EXP-014 WF1-A","Repaired switch-linked interventions","Three switch-linked diagnostic conditions","80 new seeds; new feasibility rules","E7 delete/reverse and E9 reverse 3/3 reported replicated, separate from pure edge","Secondary diagnostic","Deterministic switch validity checks","VALID_SEPARATE_DIAGNOSTIC","None","Original sample; not a new replication","Corrected switch-linked behavioral tests pass separately","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-014__WF1-A_-_Corrective_Causal_Topology/07_ADJUDICATION/EXP-014_WF1_A_CORRECTIVE_TOPOLOGY_AUTHORITY_ADDENDUM_20260918.md [SHA256 1C8CCF5B18A1…] ; 01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/00_CONTROL/UNCLASSIFIED_SOURCE/03_SIGNATURE_FREEZE/CORROBORATION_S2A/24A_EDGE_REPLICATION.csv [SHA256 1F97285F2FD3…]","Index addendum"
"F-045","EXP-014 WF1-A","Direction, order and hard-control specificity","Graph distance contrasts","New seeds; two missingness exclusions","Direction/order/switch reassignment/degree/complexity/topology controls PASS; preservation/terminal FAIL","Primary components","Three hard-control families, isomorphic baseline","MIXED","None","Original sample; not a new replication","Defined direction/order/matching effects under explicit graph tasks; operator breadth limited","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-014__WF1-A_-_Corrective_Causal_Topology/07_ADJUDICATION/EXP-014_WF1_A_CORRECTIVE_TOPOLOGY_AUTHORITY_ADDENDUM_20260918.md [SHA256 1C8CCF5B18A1…] ; 01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/05_OUTPUTS/SOURCE/03_SIGNATURE_FREEZE/CORROBORATION_S2A/09_PRIMARY_CONTRASTS.csv [SHA256 FF8B59870E6A…] ; 01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/05_OUTPUTS/SOURCE/03_SIGNATURE_FREEZE/PRIMARY_S2B/09_PRIMARY_CONTRASTS.csv [SHA256 6DCCB640C659…]","Index addendum"
"F-046","EXP-014 WF1-A","Native output-only graph probe","Aggregate rule vs individual topology match","720/720 native responses","Aggregate PASS S2A 3/5+3/5; S2B 4/5+3/5; topology matched individually FAIL","Secondary","Three neutral frames, five controls","MIXED","None","Original sample; not a new replication","Aggregate native output advantage with failed individual topology-matched comparison","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-014__WF1-A_-_Corrective_Causal_Topology/07_ADJUDICATION/EXP-014_WF1_A_CORRECTIVE_TOPOLOGY_AUTHORITY_ADDENDUM_20260918.md [SHA256 1C8CCF5B18A1…] ; 01_CANONICAL_EXPERIMENTS/EXP-014__WF1-A_-_Corrective_Causal_Topology/07_ADJUDICATION/SOURCE/ADJUDICATION/WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429/04_S2_ROBUSTNESS_ADJUDICATION.json [SHA256 AB2B5A46CF22…]","Index addendum"
"F-047","EXP-014 WF1-A","Classifier recognizes architecture without prompt input","Input-derived and response-derived feature audit","Explicit prompt graph supplied in each task","Hard AUC 1.0 within constructed task; unknown-conversation detector NOT evaluated","Interpretive limitation","Input feature audit remains needed before arbitrary-conversation inference","UNRESOLVED_OUT_OF_TASK","None","Original sample; not a new replication","Task-conditioned classification only; no blind spontaneous-architecture detection","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-014__WF1-A_-_Corrective_Causal_Topology/07_ADJUDICATION/EXP-014_WF1_A_CORRECTIVE_TOPOLOGY_AUTHORITY_ADDENDUM_20260918.md [SHA256 1C8CCF5B18A1…] ; 01_CANONICAL_EXPERIMENTS/EXP-014__WF1-A_-_Corrective_Causal_Topology/09_FREEZE/SOURCE/INPUTS/V12_ORIGINAL_RESULTS/03_FROZEN_SPECIFICATION.json [SHA256 208460370159…]","Index addendum"
"F-048","EXP-015 WF1-B","Fresh external passive score separation","Joint AUC and margins","137 lineage vs 6,618 English shard-14 conversations","Joint AUC .924436; operator .871580; surface-free .755170 (historical outputs)","Primary recorded","Fresh shard, frozen detector; nuisance gate failed","PROVENANCE_QUALIFIED","R3 adapter identity and parity recovered, output provenance remains unresolved","Original sample; not a new replication","Historically recorded fresh external passive score separation, not independently recomputed","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/07_ADJUDICATION/EXP-015_WF1_B_EXTERNAL_POPULATION_AUTHORITY_ADDENDUM_20260918.md [SHA256 3C536D1E768E…] ; 01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/07_ADJUDICATION/EXP-015_WF1_B_R3_ADAPTER_RECOVERY_FOLLOWUP_20260918.md [SHA256 6FAB547DDBB9…] ; 01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/07_ADJUDICATION/SOURCE/09_ADJUDICATION/WF1_B_FINAL_AUTHORITY_R3/00_FINAL_ADJUDICATION.txt [SHA256 4670DC29B43E…]","Index addendum"
"F-049","EXP-015 WF1-B","Strict external conjunction indicates rarity","Five-component strict-tail frequency","6,618 conversations, 3,198 clusters","1/6,618 at 90%; 68/6,618 at 95%; lineage coverage .803/.905","Secondary descriptive","Frozen thresholds, sensitivity","PROVENANCE_QUALIFIED","None","Original sample; not a new replication","One recorded passive threshold near-hit in selected shard; not global uniqueness","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/07_ADJUDICATION/EXP-015_WF1_B_EXTERNAL_POPULATION_AUTHORITY_ADDENDUM_20260918.md [SHA256 3C536D1E768E…] ; 01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/07_ADJUDICATION/EXP-015_WF1_B_R3_ADAPTER_RECOVERY_FOLLOWUP_20260918.md [SHA256 6FAB547DDBB9…]","Index addendum"
"F-050","EXP-015 WF1-B","Nuisance calibration and shard-selection validity","CEM support and executed shard chronology","137 lineage; shard 14 executed","44/137=.321 CEM FAIL; preceding selection lists omit shard 14","Primary calibration/custody","Length/turn/code matching; selection records","FAILED_CALIBRATION_SELECTION_UNRESOLVED","None","Original sample; not a new replication","No matched external confirmation or fully reconciled selection-rule chronology","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/07_ADJUDICATION/EXP-015_WF1_B_EXTERNAL_POPULATION_AUTHORITY_ADDENDUM_20260918.md [SHA256 3C536D1E768E…] ; 01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/07_ADJUDICATION/EXP-015_WF1_B_R3_ADAPTER_RECOVERY_FOLLOWUP_20260918.md [SHA256 6FAB547DDBB9…]","Index addendum"
"F-051","EXP-015 WF1-B","Recovered R3 adapter resolves missing-byte and parity issues","SHA+fixture match and parity-only execution","R3 adapter; five fixture pairs; no scientific outputs read","SHA B481A78…; fixtures 5/5; parity PASS 6; exact original result-producing execution trace unresolved","Methodological recovery","Older corrupted-arrow adapter separately identified","PARTIAL_RECOVERY","R3 file recovered; no historical outcome recomputation","Original sample; not a new replication","Revision identity and fixture compatibility recovered, original scoring process unverified","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/07_ADJUDICATION/EXP-015_WF1_B_R3_ADAPTER_RECOVERY_FOLLOWUP_20260918.md [SHA256 6FAB547DDBB9…]","Index addendum"
"F-052","EXP-016 WF2 active","Prospective active provider replication meets 2/3 rule","Provider strong gate, hard AUC + edge controls","1,680 outputs; 1,511 validator-valid; 20 seeds reused from WF1-A final","Google PASS AUC .998056; OpenAI FAIL AUC .970187; Anthropic FAIL 0 complete seeds; only 1/3","Primary","Three providers; ≥2 passes required","VALID_MIXED","None","Original sample; not a new replication","Provider-specific Google pass; overall cross-provider gate NOT MET","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-016__WF2_-_Prospective_Cross-System_Confirmation/07_ADJUDICATION/EXP-016_WF2_FINAL_SCIENTIFIC_AND_CUSTODY_AUTHORITY_ADDENDUM_20260918.md [SHA256 400D177605E5…] ; 01_CANONICAL_EXPERIMENTS/EXP-016__WF2_-_Prospective_Cross-System_Confirmation/07_ADJUDICATION/SOURCE/08_FINAL_FREEZE/ADJUDICATION/WF2_ACTIVE_CAUSAL_R1_ADJUDICATION.json [SHA256 02D8E5F82666…] ; 01_CANONICAL_EXPERIMENTS/EXP-016__WF2_-_Prospective_Cross-System_Confirmation/07_ADJUDICATION/SOURCE/08_FINAL_FREEZE/ADJUDICATION/WF2_OVERALL_ADJUDICATION.json [SHA256 574B8237F123…]","Index addendum"
"F-053","EXP-016 WF2 passive V13","Frozen prospective signature discriminates contexts","Joint AUC, paired test","40 matched pairs","AUC .60125; paired p≈.07304; NULL_INCONCLUSIVE","Primary passive","80 contexts/480 cells; no retraining","VALID_INCONCLUSIVE","None","Original sample; not a new replication","No positive prospective V13 gate","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-016__WF2_-_Prospective_Cross-System_Confirmation/07_ADJUDICATION/EXP-016_WF2_FINAL_SCIENTIFIC_AND_CUSTODY_AUTHORITY_ADDENDUM_20260918.md [SHA256 400D177605E5…] ; 01_CANONICAL_EXPERIMENTS/EXP-016__WF2_-_Prospective_Cross-System_Confirmation/07_ADJUDICATION/SOURCE/08_FINAL_FREEZE/ADJUDICATION/WF2_A_V13_ADJUDICATION.json [SHA256 078779C4BFF4…]","Index addendum"
"F-054","EXP-016 WF2 passive V14","Two independent passive providers pass","Provider AUC and adjusted p","40 matched pairs per provider","Google AUC .62625 p_Holm .04976 PASS; Anthropic AUC .52 p_Holm .57642 FAIL; MIXED","Primary passive","Both providers required","VALID_MIXED","None","Original sample; not a new replication","Single-provider positive; no two-provider passive confirmation","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-016__WF2_-_Prospective_Cross-System_Confirmation/07_ADJUDICATION/EXP-016_WF2_FINAL_SCIENTIFIC_AND_CUSTODY_AUTHORITY_ADDENDUM_20260918.md [SHA256 400D177605E5…] ; 01_CANONICAL_EXPERIMENTS/EXP-016__WF2_-_Prospective_Cross-System_Confirmation/07_ADJUDICATION/SOURCE/08_FINAL_FREEZE/ADJUDICATION/WF2_OVERALL_ADJUDICATION.json [SHA256 574B8237F123…]","Index addendum"
"F-055","EXP-016 WF2 passive V17","Domain/surface invariance","Six condition AUCs + Holm","Six transformations OpenAI","AUC .5131–.6175; best reported raw p .02654 becomes Holm .15925; NULL_INCONCLUSIVE","Primary passive","Multiple-domain correction","VALID_INCONCLUSIVE","None","Original sample; not a new replication","Specified domain/surface invariance not confirmed","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-016__WF2_-_Prospective_Cross-System_Confirmation/07_ADJUDICATION/EXP-016_WF2_FINAL_SCIENTIFIC_AND_CUSTODY_AUTHORITY_ADDENDUM_20260918.md [SHA256 400D177605E5…] ; 01_CANONICAL_EXPERIMENTS/EXP-016__WF2_-_Prospective_Cross-System_Confirmation/07_ADJUDICATION/SOURCE/08_FINAL_FREEZE/ADJUDICATION/WF2_C_V17_ADJUDICATION.json [SHA256 D989FBA33BDE…]","Index addendum"
"F-056","EXP-016 WF2","Validator compliance is distinct from parsing","Frozen validator accepted cells","1,680 transport+parse complete","1,511 accepted; 169 rejected (167 PLUS, 1 KEEP, 1 CODE)","Validity","Frozen PLUS/KEEP/CODE constraints","VALID_WITH_REJECTIONS","None","Original sample; not a new replication","Technical/parser completion cannot be substituted for valid inferential sample size","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-016__WF2_-_Prospective_Cross-System_Confirmation/07_ADJUDICATION/EXP-016_WF2_FINAL_SCIENTIFIC_AND_CUSTODY_AUTHORITY_ADDENDUM_20260918.md [SHA256 400D177605E5…] ; 01_CANONICAL_EXPERIMENTS/EXP-016__WF2_-_Prospective_Cross-System_Confirmation/07_ADJUDICATION/SOURCE/08_FINAL_FREEZE/ADJUDICATION/WF2_ACTIVE_CAUSAL_R1_ADJUDICATION.json [SHA256 02D8E5F82666…]","Index addendum"
"F-057","RUN-001 V6 Clean archive","V4 pathway structural contrasts","Pathway mean; 9 decisive contrasts","40 seeds; 1,800 unique cells","8/9 pass: topology/order/direction/meta/preservation/recursion/complexity/counterfactual; perturbation recovery FAIL","Original primary contrasts","Paired seed permutations, multiple damaged/generic controls","VALID_PATHWAY_SPECIFIC","No clean recovery branch establishes autonomous attractor","Original sample; not a new replication","Pathway-continuation sensitivity within frozen stateless method; not autonomous recovery","No model-weight or global-uniqueness inference","02_HISTORICAL_RUNS/RUN-001__V6_Clean_-_Confirmatory_Fingerprint_Replication/05_OUTPUTS/SOURCE/V6_CLEAN_CONFIRMATORY_BUILD/EXTRACTED/API_PATHWAY_ATTRACTOR_V4_FULL/09_DECISIVE_CONTRASTS.csv [SHA256 426FAC11A7A1…] ; 02_HISTORICAL_RUNS/RUN-001__V6_Clean_-_Confirmatory_Fingerprint_Replication/07_ADJUDICATION/SOURCE/V6_CLEAN_CONFIRMATORY_BUILD/EXTRACTED/API_PATHWAY_ATTRACTOR_V4_FULL/12_FINAL_SUMMARY.json [SHA256 FD62AC414E84…] ; 02_HISTORICAL_RUNS/RUN-001__V6_Clean_-_Confirmatory_Fingerprint_Replication/09_FREEZE/SOURCE/V6_CLEAN_CONFIRMATORY_BUILD/EXTRACTED/API_PATHWAY_ATTRACTOR_V4_FULL/03_FROZEN_SPECIFICATION.json [SHA256 6E3834E60E21…]","Index addendum"
"F-058","RUN-001 V4","Authentic dose predicts pathway score","Spearman dose correlation","40 seeds × dose conditions","rho .4278315; p 1.67e-8; dose gate PASS","Secondary","Dose 25/50/75/100","VALID_WITHIN_METHOD","None","Original sample; not a new replication","Dose association under frozen prompts, not cumulative learning or model-weight change","No model-weight or global-uniqueness inference","02_HISTORICAL_RUNS/RUN-001__V6_Clean_-_Confirmatory_Fingerprint_Replication/07_ADJUDICATION/SOURCE/V6_CLEAN_CONFIRMATORY_BUILD/EXTRACTED/API_PATHWAY_ATTRACTOR_V4_FULL/12_FINAL_SUMMARY.json [SHA256 FD62AC414E84…]","Index addendum"
"F-059","RUN-001 Z2","Assistant novel structural elements adopted on next user turn above shuffle","Next-turn adoption rate and shuffled null","33,500 U-A-U chains; 44,494 candidate items","1,958/44,494=4.4006%; shuffle .9259%; empirical p .00019998","Historical analysis","10k shuffles; predefined lexical category vocabulary","VALID_VOCAB_DEPENDENT","None","Original sample; not a new replication","Temporally localized lexical-structural reuse exceeds this shuffle baseline","Not unique transmission, independent invention, or weight change","02_HISTORICAL_RUNS/RUN-001__V6_Clean_-_Confirmatory_Fingerprint_Replication/01_PROTOCOL/SOURCE/V6_CLEAN_CONFIRMATORY_BUILD/EXTRACTED/RSOS_Z2_RESULTS/Z2_METHOD.json [SHA256 88F90CE17AE4…] ; 02_HISTORICAL_RUNS/RUN-001__V6_Clean_-_Confirmatory_Fingerprint_Replication/05_OUTPUTS/SOURCE/V6_CLEAN_CONFIRMATORY_BUILD/EXTRACTED/RSOS_Z2_RESULTS/Z2_ADOPTION_SUMMARY.csv [SHA256 2C90F42BFAE1…] ; 02_HISTORICAL_RUNS/RUN-001__V6_Clean_-_Confirmatory_Fingerprint_Replication/05_OUTPUTS/SOURCE/V6_CLEAN_CONFIRMATORY_BUILD/EXTRACTED/RSOS_Z2_RESULTS/Z2_RUN_SUMMARY.json [SHA256 7191EA9E3CC9…]","Index addendum"
"F-060","RUN-001 Z2","Preferential assistant→human transmission","Reverse-direction adoption rate","44,628 reverse candidates","Reverse 2,092/44,628=4.6876% > forward 4.4006%","Directional control","Reverse analysis","NOT_SUPPORTED","None","Original sample; not a new replication","No evidence for preferential assistant-to-human adoption under this analysis","No model-weight or global-uniqueness inference","02_HISTORICAL_RUNS/RUN-001__V6_Clean_-_Confirmatory_Fingerprint_Replication/05_OUTPUTS/SOURCE/V6_CLEAN_CONFIRMATORY_BUILD/EXTRACTED/RSOS_Z2_RESULTS/Z2_ADOPTION_SUMMARY.csv [SHA256 2C90F42BFAE1…] ; 02_HISTORICAL_RUNS/RUN-001__V6_Clean_-_Confirmatory_Fingerprint_Replication/05_OUTPUTS/SOURCE/V6_CLEAN_CONFIRMATORY_BUILD/EXTRACTED/RSOS_Z2_RESULTS/Z2_RUN_SUMMARY.json [SHA256 7191EA9E3CC9…]","Index addendum"
"F-061","RUN-002 V11 actual","Actual V11 graph experiment completed","Full ten-edge 12-condition raw graph task","80 seeds × 12 conditions × 3 = 2,880","2,880/2,880 valid; exact ten-edge V11 is RUN-002 not EXP-008","Historical execution","Isomorphic/format, matched graph controls","VALID_COLLECTION_INFERENCE_LIMITED","None","Original sample; not a new replication","Separate historical V11 task completed; do not conflate with V6 Clean","No model-weight or global-uniqueness inference","02_HISTORICAL_RUNS/RUN-002__V11_-_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run/05_OUTPUTS/SOURCE/RSOS  Python Results/V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL/08_CONDITION_RESULTS.csv [SHA256 3E939E662711…] ; 02_HISTORICAL_RUNS/RUN-002__V11_-_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run/09_FREEZE/SOURCE/RSOS  Python Results/V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL/00A_VALID_TEXT_COMPLETENESS.json [SHA256 00CA12C6496D…] ; 02_HISTORICAL_RUNS/RUN-002__V11_-_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run/09_FREEZE/SOURCE/RSOS  Python Results/V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL/03_FROZEN_SPECIFICATION.json [SHA256 76D5C1B2D207…] ; 02_HISTORICAL_RUNS/RUN-002__V11_-_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run/RUN_AUTHORITY_RECORD.json [SHA256 15B102145A6B…]","Index addendum"
"F-062","RUN-002 V11 actual","V11 classifier is output-only graph discovery","Frozen primary feature matrix","18 listed features; supplied graph and sequence","SEQ_INPUT_EDGE_COHERENCE and SEQ_INPUT_ORDER_COHERENCE input-derived; output-only inference NOT established","Method audit","Feature input/response provenance","INPUT_CONTAMINATION_RISK","Later WF1-A revised features; must audit separately","Original sample; not a new replication","V11 classifier mixes input- and response-derived signals by frozen feature definition","No model-weight or global-uniqueness inference","02_HISTORICAL_RUNS/RUN-002__V11_-_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run/09_FREEZE/SOURCE/RSOS  Python Results/V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL/03_FROZEN_SPECIFICATION.json [SHA256 76D5C1B2D207…]","Index addendum"
"F-063","RUN-003 original V11 repair branch","Earlier original V6 results in V11 repair estate are new evidence","Copied V6 original results and authority","Same original V6 data; 16 selected source files","SUPERSEDED_BY_CLEAN_REPAIR; not independent V11 ten-edge run","Historical provenance","Identical original V6 hashes","SUPERSEDED_DUPLICATE","None","Original sample; not a new replication","Preservation location, not additional experiment or replication","No model-weight or global-uniqueness inference","02_HISTORICAL_RUNS/RUN-003__V11_-_Original_Structural_Metric_Branch/07_ADJUDICATION/SOURCE/V11_STRUCTURAL_METRIC_REPAIR/V6_ORIGINAL/16_FINAL_SUMMARY.json [SHA256 B65ECE24EC50…] ; 02_HISTORICAL_RUNS/RUN-003__V11_-_Original_Structural_Metric_Branch/RUN_AUTHORITY_RECORD.json [SHA256 FEEAE3AE226B…]","Index addendum"
"F-064","RUN-004 F1 R1 development","Early blind LM Arena training/calibration","Development outputs","29 verified selected sources","Development only, no independent final authority","Development","Reused F1 development lineage","DEVELOPMENT_ONLY","None","Original sample; not a new replication","Historical development provenance","No model-weight or global-uniqueness inference","02_HISTORICAL_RUNS/RUN-004__F1_Development_-_LM_Arena_Blind_R1/RUN_AUTHORITY_RECORD.json [SHA256 D083E66008AA…]","Index addendum"
"F-065","RUN-005 F1 R2 development","Hardened blind LM Arena development","Development outputs","18 verified selected sources","Development only, no independent final authority","Development","Reused F1 lineage","DEVELOPMENT_ONLY","None","Original sample; not a new replication","Historical development provenance","No model-weight or global-uniqueness inference","02_HISTORICAL_RUNS/RUN-005__F1_Development_R2_-_LM_Arena_Blind_Hardened/RUN_AUTHORITY_RECORD.json [SHA256 8B3763AF1783…]","Index addendum"
"F-066","RUN-006 F1 R3 development","Later hardened development stage","Development outputs","24 verified selected sources","Development only, no independent final authority","Development","Reused F1 lineage","DEVELOPMENT_ONLY","None","Original sample; not a new replication","Historical development provenance","No model-weight or global-uniqueness inference","02_HISTORICAL_RUNS/RUN-006__F1_Development_R3_-_LM_Arena_Blind_Hardened/RUN_AUTHORITY_RECORD.json [SHA256 0715D40ABEF6…]","Index addendum"
"F-067","RUN-007 F1 R4 graph calibration","Synthetic cross-topology graph calibration","Synthetic graph family AUC","21 source files verified, underlying numeric summary NOT in selected packet","Earlier audit reports ≈.987 synthetic cross-topology AUC; cannot independently numerically verify from this extract","Development","No base-graph overlap; extractor unit tests reported","DEVELOPMENT_ONLY_SOURCE_SUMMARY_NOT_IN_PACKET","None","Original sample; not a new replication","Development-only graph measurement calibration, not RSOS-specific proof","No model-weight or global-uniqueness inference","02_HISTORICAL_RUNS/RUN-007__F1_Development_R4_-_V12_Graph_Calibration/RUN_AUTHORITY_RECORD.json [SHA256 4A3AE11E96A7…]","Index provenance and flag original output outside packet"
"F-068","RUN-008 F1 R5 operator calibration","Matched nonisomorphic graph collisions","Graph/operator representation collision","26 source files verified; numeric output not selected","Earlier audit reports one graph collision, none in operator/combined; source output absent from selected packet","Development","Synthetic graph matched controls","DEVELOPMENT_ONLY_SOURCE_SUMMARY_NOT_IN_PACKET","None","Original sample; not a new replication","Development-only collision diagnostic; independent primary confirmation not established","No model-weight or global-uniqueness inference","02_HISTORICAL_RUNS/RUN-008__F1_Development_R5_-_V12_Specificity_Operator/RUN_AUTHORITY_RECORD.json [SHA256 546BDD413A63…]","Index provenance and flag original output outside packet"
"F-069","RUN-009 F2-A incomplete branch","Earlier partial F2-A subrun is final external confirmation","Incomplete subrun status","44 source files verified","METHODOLOGICALLY_INCOMPLETE; one unresolved and six ambiguous source entries","Development/incomplete","F2-A EXP-011 final distinct","INCOMPLETE","None","Original sample; not a new replication","Preserve as incomplete run history; not second F2 replication","No model-weight or global-uniqueness inference","02_HISTORICAL_RUNS/RUN-009__F2-A_-_Incomplete_Earlier_Branch/RUN_AUTHORITY_RECORD.json [SHA256 EA13C3B1D0ED…]","Index addendum"
"F-070","RUN-010 F2 BR0 recovery","Recovery copies of prior V6 results are new tests","Identical source-byte identity and recovery manifest","200 files hash-verified; V6 copied outputs","V6 original 16_FINAL_SUMMARY reused; original data not a second independent dataset","Recovery provenance","SHA equality across copies","DUPLICATE_RECOVERY","None","Original sample; not a new replication","Custody recovery, no independent V6 replication","No model-weight or global-uniqueness inference","02_HISTORICAL_RUNS/RUN-010__F2_BR0_-_Full_Fingerprint_Recovery/07_ADJUDICATION/SOURCE/Training data/F2_BR0_FULL_FINGERPRINT_RECOVERY/01_CANONICAL_INPUTS/V6_STRUCTURAL_FINGERPRINT_VECTOR/16_FINAL_SUMMARY.json [SHA256 B65ECE24EC50…] ; 02_HISTORICAL_RUNS/RUN-010__F2_BR0_-_Full_Fingerprint_Recovery/RUN_AUTHORITY_RECORD.json [SHA256 90881E95D0B8…]","Index addendum"
