SOURCE_FAMILY,CLASSIFICATION,REASON,FILE_NAME,FULL_PATH,SIZE_BYTES,INVALID_SIGNAL_EXCERPT,DEVELOPMENT_SIGNAL_EXCERPT,POSITIVE_SIGNAL_EXCERPT,MIXED_SIGNAL_EXCERPT
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,OUTPUT_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\OUTPUT_SHA256_MANIFEST.csv,1653,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,R3_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_SUMMARY.json,3335,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,R3_SUMMARY.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_SUMMARY.txt,2086,,,F1-DEV R3 HARDENED SUMMARY Frozen spec SHA256: b383be55594d959c47985c2147134d20504b4be3d00685853191c5b2ebd12cfd Holdout SHA256 (computed only after freeze): e10a8de6b970dd0b3fb865e16f8719277f7f900d490ba3704860169a,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,VALIDATION_CLUSTER_CURVE_NO_FORCED_K.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R3_HARDENED\03_CLUSTER_CURVES_NO_FORCED_K\VALIDATION_CLUSTER_CURVE_NO_FORCED_K.csv,1280,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,COMPLETE_CONTINUOUS_FEATURE_NUISANCE_PREDICTABILITY.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R3_HARDENED\05_POSTFREEZE_NUISANCE_AUDIT\COMPLETE_CONTINUOUS_FEATURE_NUISANCE_PREDICTABILITY.csv,1021,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,R2_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R2_HARDENED\00_MANIFEST\R2_SUMMARY.json,2377,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,R2_SUMMARY.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R2_HARDENED\00_MANIFEST\R2_SUMMARY.txt,1310,,,uracy: 0.374499 Provider macro F1: 0.349072 Provider balanced chance: 0.111111 IS_CODE balanced accuracy: 0.979112 RSOS-SPECIFIC STATUS: UNTESTED 00086 EXTERNAL CONTROLS READ: NO FROZEN SPEC SHA256: 09a7eb4125e8dbb5d03a1bfc12473af446c6739fd06be6405e97cc6a84f019b0 ,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,POSTFREEZE_CLUSTER_ASSOCIATION_AUDIT.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R2_HARDENED\05_POSTFREEZE_AUDIT\POSTFREEZE_CLUSTER_ASSOCIATION_AUDIT.csv,3217,,,,
F2,DEVELOPMENT_AUDIT_ONLY,development/audit-only signal found,F1_DEV_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.json,1151,,"{ ""version"": ""F1_DEV_LMARENA_BLIND_R1"", ""completed_utc"": ""2026-09-11T16:27:47.976916+00:00"", ""dataset_role"": ""DEVELOPMENT_ONLY"", ""rows"": 38754, ""train_rows"": 19406, ""validation_rows"": 9634, ""development_holdout_rows"": 9714, ""primary_feature_count"": 14, ""pca_components"": 10, ""selected_k"": 3, ",,
F2,DEVELOPMENT_AUDIT_ONLY,development/audit-only signal found,F1_DEV_SUMMARY.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.txt,1180,,"F1-DEV LM ARENA BLIND STRUCTURAL REDISCOVERY R1 ROLE DEVELOPMENT ONLY ROWS Total: 38,754 Train: 19,406 Validation: 9,634 Development holdout: 9,714 PRIMARY STRUCTURAL FEATURES 14 PCA COMPONENTS 10 SELECTED BLIND U-CLUSTERS 3 RELATIONAL DEPENDEN",ent: 1.000000 POST-FREEZE CONFOUND AUDIT Largest holdout AMI variable: IS_CODE Largest holdout AMI: 0.202951 PRESERVE-FIRST RETENTION Row retention: 1.000000 Session leakage: 0 FROZEN SPEC SHA256 f49a55a54fff590dbe199bfdddca6ab53fbe110ecef3fcc81f56b28d2d0bf672 RESERVED train-*-of-00086.parquet CONTROLS READ? NO F3 PROSPECTIVE CLAIM? NOT ELIGIBLE — historical ,
F2,DEVELOPMENT_AUDIT_ONLY,development/audit-only signal found,F1_FROZEN_SPEC_BEFORE_DEVELOPMENT_HOLDOUT.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_FROZEN_SPEC_BEFORE_DEVELOPMENT_HOLDOUT.json,5462,,"{ ""version"": ""F1_DEV_LMARENA_BLIND_R1"", ""frozen_utc"": ""2026-09-11T16:27:44.785147+00:00"", ""dataset_role"": ""DEVELOPMENT_ONLY"", ""confirmatory_claim_allowed"": false, ""master_seed"": 120918, ""blind_source"": ""C:\\RSOS\\Training data\\LMARENA_V12_V18_UPDATED\\04_BLIND_STRUCTURAL_MATRIX\\train-00000-of-0",,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,INPUT_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\INPUT_SHA256_MANIFEST.csv,1075,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,F1_POSTFREEZE_CONFOUND_AUDIT.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R1\05_POSTFREEZE_UNBLIND_AUDIT\F1_POSTFREEZE_CONFOUND_AUDIT.csv,1155,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,F1_U_BY_PROVIDER_DEVELOPMENT_HOLDOUT.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R1\05_POSTFREEZE_UNBLIND_AUDIT\F1_U_BY_PROVIDER_DEVELOPMENT_HOLDOUT.csv,204,,,,
F2,DEVELOPMENT_AUDIT_ONLY,development/audit-only signal found,F1_DEV_STATUS_LEDGER.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\F2_BR1_REVIEW_BUNDLE\F1_DEV_LMARENA_BLIND_R1\06_STATUS_LEDGER\F1_DEV_STATUS_LEDGER.csv,495,,"_FIRST_ROW_RETENTION,PASS,1.0,DEVELOPMENT RELATIONAL_DEPENDENCE_CALIBRATION,STRONG_RELATIONAL_RECOVERABILITY,0.9878275419853179,DEVELOPMENT BLIND_STRUCTURAL_DISCOVERY,MEASURED,3.0,DEVELOPMENT_ONLY LLM_GATED_COMPARATOR,UNTESTED,,NONE F2_EXTERNAL_POPULATION_RARITY,NOT_RUN_RESERVED,,NONE F3_PROSPECTIVE_REPLICATION,NOT_ELIGIBLE_HISTORICAL_DATA,,NONE ",,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,INPUT_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\INPUT_SHA256_MANIFEST.csv,1157,,,,
V11,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,00A_VALID_TEXT_COMPLETENESS.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\00A_VALID_TEXT_COMPLETENESS.json,122,,,,
V11,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,14_CONTROL_MATCH_AUDIT.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\14_CONTROL_MATCH_AUDIT.csv,92090,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,00D_PREFLIGHT_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN\00D_PREFLIGHT_SUMMARY.json,194,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,14_CONTROL_MATCH_AUDIT.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN\14_CONTROL_MATCH_AUDIT.csv,155653,,,,
F2,AUTHORITATIVE_CANDIDATE,authority filename plus positive status signal,00A_VALID_TEXT_COMPLETENESS.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\V6_CLEAN_FINGERPRINT_CONFIRMATORY_REPLICATION\00A_VALID_TEXT_COMPLETENESS.json,319,,,"s"": 8000, ""unique_success_cells"": 8000, ""valid_text_cells"": 8000, ""empty_text_cells"": 0, ""duplicate_success_cells"": 0, ""scientific_completeness"": true, ""hard_rule"": ""A valid cell requires non-empty visible text. Empty output must never be interpreted as a zero-feature response."" }",
F2,AUTHORITATIVE_CANDIDATE,authority filename plus positive status signal,16_FINAL_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\V6_CLEAN_FINGERPRINT_CONFIRMATORY_REPLICATION\16_FINAL_SUMMARY.json,20734,,," 1294809 }, ""estimated_cost_usd"": 1.8500908000000003, ""interpretation_boundary"": ""A positive V6 result supports a reproducible behavioral structural fingerprint vector under frozen interventions. It does not by itself establish modification of global model weights, hidden neural circuitry, training exposure, biological myelination, cross-user transmission or",
F2,AUTHORITATIVE_CANDIDATE,authority filename plus positive status signal,16_FINAL_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\V6_STRUCTURAL_FINGERPRINT_VECTOR\16_FINAL_SUMMARY.json,20810,,," 2016850 }, ""estimated_cost_usd"": 2.7129147999999996, ""interpretation_boundary"": ""A positive V6 result supports a reproducible behavioral structural fingerprint vector under frozen interventions. It does not by itself establish modification of global model weights, hidden neural circuitry, training exposure, biological myelination, cross-user transmission or",
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,16_FINAL_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\16_FINAL_SUMMARY.json,12447,,,,
F2,AUTHORITATIVE_CANDIDATE,authority filename plus positive status signal,16_FINAL_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\16_FINAL_SUMMARY.json,6348,,,"l fitting, together with independently replicated non-additive interactions."", ""hard_boundary"": ""Even a strong V8 result demonstrates behavioral compositional organization under frozen black-box interventions. It does not by itself prove that RSOS modified global model weights or identify the internal neural mechanism."" }",
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,16_FINAL_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\16_FINAL_SUMMARY.json,5091,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,FINAL_ZIP_SHA256.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\FINAL_ZIP_SHA256.txt,66,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,OUTPUT_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\OUTPUT_SHA256_MANIFEST.csv,2731,,,,
V12,DEVELOPMENT_AUDIT_ONLY,development/audit-only signal found,R5_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\R5_SUMMARY.json,1469,,"ons"": 0, ""combined_holdout_min_distance"": 3.5962672296580367, ""combined_holdout_exact_6dp_collisions"": 0, ""interpretation"": { ""graph_specificity"": ""Development collision audit only"", ""operator_specificity"": ""Structural operator calibration only"", ""combined_specificity"": ""Development collision audit only"", ""rsos_specific_real_corpus"": ""UNTESTED"", ",,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,R5_SUMMARY.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\R5_SUMMARY.txt,533,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,GRAPH_SPECIFICITY_SUMMARY.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\01_GRAPH_SPECIFICITY\GRAPH_SPECIFICITY_SUMMARY.csv,196,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,OPERATOR_SPECIFICITY_SUMMARY.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\02_OPERATOR_SPECIFICITY\OPERATOR_SPECIFICITY_SUMMARY.csv,226,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,COMBINED_SPECIFICITY_SUMMARY.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\03_COMBINED_COLLISION\COMBINED_SPECIFICITY_SUMMARY.csv,223,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,COMPLETE_PACKAGE_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\COMPLETE_PACKAGE_SHA256_MANIFEST.csv,2423,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,FINAL_ZIP_SHA256.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\FINAL_ZIP_SHA256.txt,66,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,OUTPUT_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\OUTPUT_SHA256_MANIFEST.csv,1984,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,R4_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\R4_SUMMARY.json,3204,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,R4_SUMMARY.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_R4_V12_GRAPH_CALIBRATION\00_MANIFEST\R4_SUMMARY.txt,1821,,,,
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,AUTHENTIC_V12_PERTURBATION_SUMMARY.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_R4_V12_GRAPH_CALIBRATION\02_AUTHENTIC_EDGE_PERTURBATIONS\AUTHENTIC_V12_PERTURBATION_SUMMARY.csv,272,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,COMPLETE_PACKAGE_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\COMPLETE_PACKAGE_SHA256_MANIFEST.csv,2426,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,COMPLETE_ZIP_SHA256.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\COMPLETE_ZIP_SHA256.txt,66,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,OUTPUT_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\OUTPUT_SHA256_MANIFEST.csv,1653,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,R3_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_SUMMARY.json,3335,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,R3_SUMMARY.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R3_HARDENED\00_MANIFEST\R3_SUMMARY.txt,2086,,,F1-DEV R3 HARDENED SUMMARY Frozen spec SHA256: b383be55594d959c47985c2147134d20504b4be3d00685853191c5b2ebd12cfd Holdout SHA256 (computed only after freeze): e10a8de6b970dd0b3fb865e16f8719277f7f900d490ba3704860169a,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,VALIDATION_CLUSTER_CURVE_NO_FORCED_K.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R3_HARDENED\03_CLUSTER_CURVES_NO_FORCED_K\VALIDATION_CLUSTER_CURVE_NO_FORCED_K.csv,1280,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,COMPLETE_CONTINUOUS_FEATURE_NUISANCE_PREDICTABILITY.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R3_HARDENED\05_POSTFREEZE_NUISANCE_AUDIT\COMPLETE_CONTINUOUS_FEATURE_NUISANCE_PREDICTABILITY.csv,1021,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,R2_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R2_HARDENED\00_MANIFEST\R2_SUMMARY.json,2377,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,R2_SUMMARY.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R2_HARDENED\00_MANIFEST\R2_SUMMARY.txt,1310,,,uracy: 0.374499 Provider macro F1: 0.349072 Provider balanced chance: 0.111111 IS_CODE balanced accuracy: 0.979112 RSOS-SPECIFIC STATUS: UNTESTED 00086 EXTERNAL CONTROLS READ: NO FROZEN SPEC SHA256: 09a7eb4125e8dbb5d03a1bfc12473af446c6739fd06be6405e97cc6a84f019b0 ,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,POSTFREEZE_CLUSTER_ASSOCIATION_AUDIT.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R2_HARDENED\05_POSTFREEZE_AUDIT\POSTFREEZE_CLUSTER_ASSOCIATION_AUDIT.csv,3217,,,,
F2,DEVELOPMENT_AUDIT_ONLY,development/audit-only signal found,F1_DEV_SUMMARY.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.json,1151,,"{ ""version"": ""F1_DEV_LMARENA_BLIND_R1"", ""completed_utc"": ""2026-09-11T16:27:47.976916+00:00"", ""dataset_role"": ""DEVELOPMENT_ONLY"", ""rows"": 38754, ""train_rows"": 19406, ""validation_rows"": 9634, ""development_holdout_rows"": 9714, ""primary_feature_count"": 14, ""pca_components"": 10, ""selected_k"": 3, ",,
F2,DEVELOPMENT_AUDIT_ONLY,development/audit-only signal found,F1_DEV_SUMMARY.txt,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.txt,1180,,"F1-DEV LM ARENA BLIND STRUCTURAL REDISCOVERY R1 ROLE DEVELOPMENT ONLY ROWS Total: 38,754 Train: 19,406 Validation: 9,634 Development holdout: 9,714 PRIMARY STRUCTURAL FEATURES 14 PCA COMPONENTS 10 SELECTED BLIND U-CLUSTERS 3 RELATIONAL DEPENDEN",ent: 1.000000 POST-FREEZE CONFOUND AUDIT Largest holdout AMI variable: IS_CODE Largest holdout AMI: 0.202951 PRESERVE-FIRST RETENTION Row retention: 1.000000 Session leakage: 0 FROZEN SPEC SHA256 f49a55a54fff590dbe199bfdddca6ab53fbe110ecef3fcc81f56b28d2d0bf672 RESERVED train-*-of-00086.parquet CONTROLS READ? NO F3 PROSPECTIVE CLAIM? NOT ELIGIBLE — historical ,
F2,DEVELOPMENT_AUDIT_ONLY,development/audit-only signal found,F1_FROZEN_SPEC_BEFORE_DEVELOPMENT_HOLDOUT.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_FROZEN_SPEC_BEFORE_DEVELOPMENT_HOLDOUT.json,5462,,"{ ""version"": ""F1_DEV_LMARENA_BLIND_R1"", ""frozen_utc"": ""2026-09-11T16:27:44.785147+00:00"", ""dataset_role"": ""DEVELOPMENT_ONLY"", ""confirmatory_claim_allowed"": false, ""master_seed"": 120918, ""blind_source"": ""C:\\RSOS\\Training data\\LMARENA_V12_V18_UPDATED\\04_BLIND_STRUCTURAL_MATRIX\\train-00000-of-0",,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,INPUT_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\INPUT_SHA256_MANIFEST.csv,1075,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,F1_POSTFREEZE_CONFOUND_AUDIT.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R1\05_POSTFREEZE_UNBLIND_AUDIT\F1_POSTFREEZE_CONFOUND_AUDIT.csv,1155,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,F1_U_BY_PROVIDER_DEVELOPMENT_HOLDOUT.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R1\05_POSTFREEZE_UNBLIND_AUDIT\F1_U_BY_PROVIDER_DEVELOPMENT_HOLDOUT.csv,204,,,,
F2,DEVELOPMENT_AUDIT_ONLY,development/audit-only signal found,F1_DEV_STATUS_LEDGER.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R1\06_STATUS_LEDGER\F1_DEV_STATUS_LEDGER.csv,495,,"_FIRST_ROW_RETENTION,PASS,1.0,DEVELOPMENT RELATIONAL_DEPENDENCE_CALIBRATION,STRONG_RELATIONAL_RECOVERABILITY,0.9878275419853179,DEVELOPMENT BLIND_STRUCTURAL_DISCOVERY,MEASURED,3.0,DEVELOPMENT_ONLY LLM_GATED_COMPARATOR,UNTESTED,,NONE F2_EXTERNAL_POPULATION_RARITY,NOT_RUN_RESERVED,,NONE F3_PROSPECTIVE_REPLICATION,NOT_ELIGIBLE_HISTORICAL_DATA,,NONE ",,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,INPUT_MANIFEST_CROSSCHECK.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\00_MANIFEST\INPUT_MANIFEST_CROSSCHECK.csv,1792,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,PARQUET_SCHEMA_AUDIT.json,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\02_SCHEMA\PARQUET_SCHEMA_AUDIT.json,6654,,,,
